uuid,Region,Sow_DOY,Density,Fer_N,Fer_P,Fer_K,Fer_Count,Pest_Count,Pest_Cost,Irr_Count,Irr_Elec,Irr_Sprinkler,Irr_None,Irr_Drip,Irr_Flood,Lodging,Precip,Rad,RH,Wind,Yield
15628938-dc1c-44c8-ae11-6fff6c4247a2,1,166,95925,253.5,117,117,1,4,165,0,0,0,0,1,0,0,487.4,1939.02,74.54,8.32,11195.25
17734c4c-04e7-4b50-a269-e46d03131803,1,164,54870,165,75,60,1,1,371.25,2,600,0,0,1,0,0,450.8,1983.02,74.16,8.42,11149.95
177740b0-bb26-4dbf-a91e-b1b759bc37aa,0,169,68880,148.5,54,67.5,1,1,270,1,309.75,0,0,1,0,13,504.2,1705.91,76.11,6.8,11249.55
196688ae-2178-4522-a5a2-5caa160c521c,0,169,57255,231,99,66,1,2,588.75,1,521.7,0,0,0,1,0,504.2,1705.91,76.11,6.8,9516.15
1c3ea23e-49b4-4e87-aa37-db1711dfaa87,1,166,56310,252,108,108,1,3,600,1,412.05,1,0,0,0,0,438.9,1936.95,74.95,8.36,7265.55
1faabeac-419e-42f1-8552-2ac79b50ee08,1,162,59325,325.5,37.5,75,2,1,270,1,300,1,0,0,0,0,486.7,2029.16,73.1,7.69,13583.25
201ed499-a856-4172-b03b-7ce98cd248f5,1,166,59745,253.5,136.5,97.5,1,2,300,0,0,1,0,0,0,0,487.4,1939.02,74.54,8.32,9298.35
221010fc-640e-4325-9798-e2262804f456,0,176,60180,189,40.5,40.5,1,2,684.75,1,254.7,0,0,1,0,19,499,1566.23,78.18,6.7,9082.95
2ae05f06-77eb-45b9-8d6b-354bcfdd3416,1,162,57285,325.5,37.5,75,2,1,270,1,300,1,0,0,0,0,486.7,2029.16,73.1,7.69,9192.45
2b5ccf7b-25a1-4c61-87ef-a516538d838e,1,174,81015,206.25,82.5,82.5,1,3,172.5,2,900,1,0,0,0,0,513.9,1791.35,74.93,8.3,10753.8
2b8121e5-cb2b-4216-97bc-5cc8563ff947,1,185,64815,326.25,116.25,112.125,2,0,0,0,0,0,1,0,0,0,408.2,1594.62,76.42,8.42,7151.7
2c3395a8-5157-4fb4-86ee-18348c624cc2,1,171,56535,225,45,90,1,0,0,1,300,0,0,1,0,0,469.9,1855.86,74.62,7.69,10979.4
2ee40cba-4200-4a61-8997-b0e6587187ac,1,166,60000,252,108,108,1,3,600,1,412.05,1,0,0,0,0,438.9,1936.95,74.95,8.36,7861.35
3a547d5a-3b3c-41b6-b4ac-2a11c34f31d2,1,174,50955,132,48,60,1,2,750,0,0,0,0,0,1,0,433.3,1787.82,75.91,8.84,6759.75
3e22d0a9-3bc8-40d5-93a4-cdf72f08fb63,1,167,100935,253.5,117,117,1,4,165,0,0,0,0,1,0,0,483.5,1919.39,74.59,8.32,8722.35
48217b75-95e5-4ead-8d82-9a8ff8b84a7b,0,168,54525,210,90,60,1,2,507,1,276,0,0,0,1,0,504.2,1728.6,75.79,6.8,10454.4
4869d4a2-3456-46ef-8ec1-15394dd43ff6,1,169,67005,132,48,60,1,3,90,1,825,0,0,1,0,0,484.8,1876.52,75.13,8.03,9546.15
48c1d581-4c63-4d05-9565-8e9f553c8192,1,159,67065,217.5,75,90,1,1,300,2,600,0,0,1,0,0,478.7,2102.29,73.41,8.42,14702.7
4b0e1e13-89dd-4b88-9965-362d4702edcb,0,162,54930,231,99,66,1,2,588.75,2,521.7,0,0,0,1,6,547.8,1842.61,74.46,8.33,9653.85
4bb4e02c-261d-4ec8-9d43-27c06fd18308,1,166,77880,175.5,87.75,81,1,0,0,1,300,0,0,1,0,0,544,1938.64,73.94,7.57,11332.8
4c6ecc0a-f0de-4ee0-a9d5-f06cebf33112,0,170,55905,250.125,43.125,51.75,1,2,691.95,1,576.9,0,0,0,1,0,504.2,1684.29,76.4,6.8,8140.8
54959c30-d219-4210-ba7a-a32bb83c503b,1,163,67485,217.5,75,90,1,1,300,2,600,0,0,1,0,0,450.8,2009.17,73.91,8.42,14759.1
555ec386-29fe-48a8-90d6-3124cce164ed,1,171,66945,204,24,36,1,2,255,0,0,0,0,1,0,0,472.5,1852.21,75.41,8.32,10552.95
59102a01-8ef3-42d2-9fb2-9e5262ac7654,0,163,53565,150,30,30,1,2,498,2,326.1,1,0,0,0,0,547.8,1819.96,74.76,8.33,8047.05
5a102f40-48a8-4098-83ec-3f4751eaba28,1,174,67230,198,90,72,1,1,371.25,2,600,0,0,1,0,0,434.5,1793.71,75.61,8.42,13979.4
613ebc7b-48b3-4974-9ec9-2b7e52710810,0,172,59325,148.5,54,67.5,1,2,684.75,1,179.4,1,0,0,0,0,499,1654.07,76.54,6.7,10006.8
62637b29-10fb-48ba-a46c-cad549eb89a7,1,172,74970,175.5,87.75,81,1,0,0,1,300,0,0,1,0,0,517.7,1832.25,74.89,7.57,10690.8
6298dce3-29b5-4cfa-9af2-d53ec255c0f6,1,162,56070,325.5,37.5,75,2,1,270,1,300,1,0,0,0,0,486.7,2029.16,73.1,7.69,9040.05
62ae1eec-313b-4b9c-9710-199a79074029,1,174,83940,206.25,82.5,82.5,1,3,172.5,2,900,1,0,0,0,0,513.9,1791.35,74.93,8.3,8552.7
65b77cc1-35c9-4589-9a32-c40bded09012,0,163,50550,150,30,30,1,2,498,1,244.575,1,0,0,0,0,547.8,1819.96,74.76,8.33,8183.1
6cd7c375-ec99-4aca-89fc-14a4b6092cd8,1,169,68220,195,90,90,1,3,480,0,0,0,0,1,0,20,475.7,1875.46,73.89,8.93,11409.75
6cedb50a-8f59-445e-bfa1-05bb0ad2aff5,1,163,73440,234.3,47.59125,85.92675,3,2,741.15,0,0,0,1,0,0,0,448.4,2002.67,72.45,8.01,11336.25
70c4cde2-3bc3-46e1-a2f1-8ed38af2e9b6,1,185,56700,105,45,41.25,1,0,0,0,0,0,1,0,0,0,408.2,1594.62,76.42,8.42,7027.2
77c842b9-6e80-48b9-b0e5-e7cf6938c438,1,169,65220,195,90,90,1,3,480,0,0,0,0,1,0,9,475.7,1875.46,73.89,8.93,8789.1
79537b58-21d4-4e6e-a644-eb1992a4da4a,0,173,53385,182.25,40.5,47.25,1,2,684.75,1,355.8,0,0,1,0,0,499,1630.71,76.87,6.7,8075.85
7a7e033a-0b15-4681-9bb1-866861238308,1,171,52530,132,48,60,1,2,750,0,0,0,0,0,1,0,426.5,1849.93,75.89,8.36,9025.2
7bed8669-4f0e-4931-be21-82fb77a658e5,1,171,68790,234.3,47.59125,85.92675,3,2,741.15,0,0,0,1,0,0,0,433.2,1854.88,73.87,7.7,9979.65
80fb4f72-39d8-4b19-ac53-e5176181dcb3,1,166,103455,253.5,117,117,1,4,165,0,0,0,0,1,0,0,487.4,1939.02,74.54,8.32,7105.8
847a895e-8c84-4da4-87e0-4181ea5d978d,1,160,70455,252,54,54,1,0,0,2,600,0,0,1,0,0,504.2,2076,72.91,7.69,14012.25
865a65ed-23f3-47d0-96c6-7d725fc5ed6a,0,174,58620,132,48,60,1,1,269.25,1,305.85,0,0,1,0,0,493.7,1617.94,72.11,5.51,8166.75
8c88343f-6fa5-4eee-ac4d-c7b6b0f3c19e,1,159,62505,217.5,75,90,1,1,300,2,600,0,0,1,0,0,478.7,2102.29,73.41,8.42,12979.95
9505846a-4621-4b56-9290-de98d4e48416,0,171,61425,189,40.5,40.5,1,2,684.75,1,380.55,0,0,1,0,0,499.1,1673.76,76.41,6.7,10238.4
9588a630-dcac-4a7a-a355-b1ababc871fc,0,166,58830,279.375,37.5,106.875,2,1,548.85,3,1305.45,0,0,1,0,20,505.4,1770.23,75.27,8.33,8286.6
9b1a3bad-5894-41c9-9925-7ce08670cd3e,1,167,57675,253.5,136.5,97.5,1,2,120,0,0,1,0,0,0,0,483.5,1919.39,74.59,8.32,8906.85
9cb320ea-e27d-4e46-81f3-715fd8188f26,1,174,78435,206.25,82.5,82.5,1,3,172.5,2,900,1,0,0,0,0,513.9,1791.35,74.93,8.3,9448.2
9e5eb9c8-b688-44bb-9520-8bbfd19b26cf,1,171,63420,204,24,36,1,2,255,0,0,0,0,1,0,4,426.5,1849.93,75.89,8.36,8432.85
a01e1a55-59a2-4e37-9470-d863edfee5ff,1,169,93870,206.25,82.5,82.5,1,3,172.5,2,900,1,0,0,0,0,537.3,1883.22,74.49,8.3,10050.75
a3164280-e54a-46d6-baaf-fbdaff034e2d,1,169,81960,128.25,128.25,128.25,1,1,150,1,401.85,0,0,1,0,33,525.4,1883.09,73.57,8.77,12499.5
a4e6021d-01cc-480f-92aa-44a381b948d1,0,170,53865,210,90,60,1,2,401.25,1,241.8,0,0,0,1,2,504.2,1684.29,76.4,6.8,10181.85
acf92bd1-ac73-4dbe-96d5-e73613c1b6a7,1,169,72465,128.25,128.25,128.25,1,1,150,1,401.85,0,0,1,0,0,525.4,1883.09,73.57,8.77,10935.9
b01bb35b-829f-453d-87d5-e6fd77f1b786,0,172,55605,189,40.5,40.5,1,2,684.75,1,293.55,0,0,1,0,2,499,1654.07,76.54,6.7,9978.75
bccb0210-41d6-4f85-9a13-39eeaee9774d,0,166,64680,148.5,54,67.5,1,2,684.75,1,388.95,1,0,0,0,0,505.4,1770.23,75.27,8.33,12200.1
c31095f7-edbc-4010-ba9d-75603910db44,1,171,61290,225,45,90,1,0,0,1,300,0,0,1,0,0,469.9,1855.86,74.62,7.69,13681.05
c5bf8362-80cd-4dde-b219-75fdb31f62ec,1,161,56595,252,54,54,1,0,0,2,600,1,0,0,0,0,486.8,2054.52,72.97,7.69,11046
c648e286-54e5-4658-b7a1-efd2257902f4,0,167,54945,148.5,54,67.5,1,1,269.25,1,1222.8,1,0,0,0,19,504.2,1748.7,75.48,8.33,9502.5
c6def630-aa7a-4169-b374-be8c2edf0d8b,1,167,64470,234.3,47.59125,85.92675,3,2,741.15,0,0,0,1,0,0,0,446.8,1919.83,72.84,7.7,10951.2
c797d3ab-aab0-457d-823c-5fa6f9afad0d,1,169,50070,234.3,47.59125,85.92675,3,2,741.15,0,0,0,1,0,0,0,446.4,1877.31,73.55,7.7,9582.9
c94d52c0-6519-4ab1-b981-7abb78447f69,1,166,95835,252,108,108,1,3,600,1,412.05,1,0,0,0,7,438.9,1936.95,74.95,8.36,8970
d0b82908-df7c-43ff-b6fd-905b73e16d5e,1,161,56685,217.5,75,90,1,1,300,2,600,0,0,1,0,0,450.8,2060.09,73.53,8.42,11189.1
d172b906-253e-4ec4-8d9f-071d7a5c4da3,1,169,57840,234.3,47.59125,85.92675,3,2,741.15,0,0,0,1,0,0,0,446.4,1877.31,73.55,7.7,10720.95
d37fe32c-f5bd-4992-afdd-59bb774a4e3d,1,171,76725,204,24,36,1,2,255,1,420,0,0,1,0,0,517.4,1852.03,75.75,7.6,12213.75
d72a3f56-7423-4b63-a882-6d0019326a4b,1,163,63090,217.5,75,90,1,1,300,2,600,0,0,1,0,0,450.8,2009.17,73.91,8.42,14728.5
dac76e20-e834-4074-b06b-33da977e7033,1,172,61710,225,45,90,1,0,0,1,300,0,0,1,0,0,467,1836.21,74.57,7.69,13329.45
db2ea84c-2f30-4578-9879-394d632fdac4,0,169,49800,217.5,37.5,45,1,2,428.7,1,691.35,0,0,0,1,9,504.2,1705.91,76.11,6.8,7970.1
dd456216-88ea-42ee-9a1e-7d828dcf80d6,1,168,75735,123.75,123.75,123.75,1,1,150,1,401.85,0,0,1,0,19,525.4,1905.87,73.2,8.77,12100.95
e098402a-6893-4ce9-9fa0-74c358966c8a,1,169,80715,195,90,90,1,3,480,0,0,0,0,1,0,13,475.7,1875.46,73.89,8.93,10056.9
e1b135d6-f140-44c0-89be-9b3c61646f30,0,166,53355,165,60,75,1,2,597,1,276.9,0,0,0,1,4,505.4,1770.23,75.27,8.33,11117.85
e67e73a4-9c32-4c2f-8f53-75f245bfb09a,0,166,51555,150,30,30,1,2,513,1,81.45,1,0,0,0,0,505.4,1770.23,75.27,8.33,9337.8
f8f62038-89fa-472d-89e5-15a54243abd0,1,171,66330,181.5,66,82.5,1,3,90,1,825,0,0,1,0,0,471.9,1853.93,75.38,8.03,10795.35
fcde1a9e-a852-4c9f-a23c-b153a5d5641d,1,174,74550,206.25,82.5,82.5,1,3,172.5,2,900,1,0,0,0,0,513.9,1791.35,74.93,8.3,10721.85
